dataset,method,feature,score,rank
medical,RFE,num__age,0.9999990000010001,1
medical,RFE,num__gender,0.33333322222225925,12
medical,RFE,num__height,0.9999990000010001,2
medical,RFE,num__weight,0.9999990000010001,3
medical,RFE,num__systolic_bp,0.9999990000010001,4
medical,RFE,num__diastolic_bp,0.9999990000010001,6
medical,RFE,num__cholesterol,0.9999990000010001,5
medical,RFE,num__glucose,0.9999990000010001,7
medical,RFE,num__smoking,0.9999990000010001,8
medical,RFE,num__alcohol,0.499999750000125,11
medical,RFE,num__exercise,0.9999990000010001,10
medical,RFE,num__family_history,0.9999990000010001,9
finance,RFE,num__age,0.9999990000010001,1
finance,RFE,num__income,0.16666663888889352,15
finance,RFE,num__credit_score,0.9999990000010001,2
finance,RFE,num__debt_ratio,0.9999990000010001,3
finance,RFE,num__employment_years,0.24999993750001562,13
finance,RFE,num__loan_amount,0.9999990000010001,4
finance,RFE,num__interest_rate,0.9999990000010001,6
finance,RFE,num__previous_default,0.9999990000010001,5
finance,RFE,num__dependents,0.9999990000010001,8
finance,RFE,cat__home_ownership_mortgage,0.9999990000010001,7
finance,RFE,cat__home_ownership_own,0.9999990000010001,9
finance,RFE,cat__home_ownership_rent,0.9999990000010001,10
finance,RFE,cat__marital_status_divorced,0.499999750000125,11
finance,RFE,cat__marital_status_married,0.33333322222225925,12
finance,RFE,cat__marital_status_single,0.199999960000008,14
medical,SFS_forward,num__age,1.0,1
medical,SFS_forward,num__gender,1.0,2
medical,SFS_forward,num__height,1.0,3
medical,SFS_forward,num__weight,1.0,4
medical,SFS_forward,num__systolic_bp,1.0,5
medical,SFS_forward,num__diastolic_bp,1.0,6
medical,SFS_forward,num__cholesterol,1.0,7
medical,SFS_forward,num__glucose,1.0,8
medical,SFS_forward,num__smoking,1.0,9
medical,SFS_forward,num__alcohol,1.0,10
medical,SFS_forward,num__exercise,0.0,11
medical,SFS_forward,num__family_history,0.0,12
finance,SFS_forward,num__age,1.0,1
finance,SFS_forward,num__income,1.0,2
finance,SFS_forward,num__credit_score,1.0,3
finance,SFS_forward,num__debt_ratio,1.0,4
finance,SFS_forward,num__employment_years,1.0,5
finance,SFS_forward,num__loan_amount,1.0,6
finance,SFS_forward,num__interest_rate,1.0,7
finance,SFS_forward,num__previous_default,1.0,8
finance,SFS_forward,num__dependents,1.0,9
finance,SFS_forward,cat__home_ownership_mortgage,1.0,10
finance,SFS_forward,cat__home_ownership_own,0.0,11
finance,SFS_forward,cat__home_ownership_rent,0.0,12
finance,SFS_forward,cat__marital_status_divorced,0.0,13
finance,SFS_forward,cat__marital_status_married,0.0,14
finance,SFS_forward,cat__marital_status_single,0.0,15
medical,L1_logreg,num__age,0.0,1
medical,L1_logreg,num__gender,0.0,2
medical,L1_logreg,num__height,0.0,3
medical,L1_logreg,num__weight,0.0,4
medical,L1_logreg,num__systolic_bp,0.0,5
medical,L1_logreg,num__diastolic_bp,0.0,6
medical,L1_logreg,num__cholesterol,0.0,7
medical,L1_logreg,num__glucose,0.0,8
medical,L1_logreg,num__smoking,0.0,9
medical,L1_logreg,num__alcohol,0.0,10
medical,L1_logreg,num__exercise,0.0,11
medical,L1_logreg,num__family_history,0.0,12
finance,L1_logreg,num__age,0.0,1
finance,L1_logreg,num__income,0.0,2
finance,L1_logreg,num__credit_score,0.0,3
finance,L1_logreg,num__debt_ratio,0.0,4
finance,L1_logreg,num__employment_years,0.0,5
finance,L1_logreg,num__loan_amount,0.0,6
finance,L1_logreg,num__interest_rate,0.0,7
finance,L1_logreg,num__previous_default,0.0,8
finance,L1_logreg,num__dependents,0.0,9
finance,L1_logreg,cat__home_ownership_mortgage,0.0,10
finance,L1_logreg,cat__home_ownership_own,0.0,11
finance,L1_logreg,cat__home_ownership_rent,0.0,12
finance,L1_logreg,cat__marital_status_divorced,0.0,13
finance,L1_logreg,cat__marital_status_married,0.0,14
finance,L1_logreg,cat__marital_status_single,0.0,15
medical,RF_importance,num__age,0.11,6
medical,RF_importance,num__gender,0.0,11
medical,RF_importance,num__height,0.0,10
medical,RF_importance,num__weight,0.055476190476190484,7
medical,RF_importance,num__systolic_bp,0.1393333333333333,4
medical,RF_importance,num__diastolic_bp,0.18285714285714286,2
medical,RF_importance,num__cholesterol,0.11285714285714285,5
medical,RF_importance,num__glucose,0.20666666666666667,1
medical,RF_importance,num__smoking,0.014000000000000002,9
medical,RF_importance,num__alcohol,0.0,12
medical,RF_importance,num__exercise,0.14,3
medical,RF_importance,num__family_history,0.03880952380952381,8
finance,RF_importance,num__age,0.06148991960420533,7
finance,RF_importance,num__income,0.12066958616780044,5
finance,RF_importance,num__credit_score,0.12360680272108844,4
finance,RF_importance,num__debt_ratio,0.136500283446712,2
finance,RF_importance,num__employment_years,0.1703003968253968,1
finance,RF_importance,num__loan_amount,0.05481940579262008,8
finance,RF_importance,num__interest_rate,0.12369942279942281,3
finance,RF_importance,num__previous_default,0.07315986394557823,6
finance,RF_importance,num__dependents,0.04202678571428572,9
finance,RF_importance,cat__home_ownership_mortgage,0.012233815192743762,13
finance,RF_importance,cat__home_ownership_own,0.005102040816326531,14
finance,RF_importance,cat__home_ownership_rent,0.023004772211915072,11
finance,RF_importance,cat__marital_status_divorced,0.0022857142857142855,15
finance,RF_importance,cat__marital_status_married,0.03740476190476191,10
finance,RF_importance,cat__marital_status_single,0.013696428571428571,12
medical,Permutation,num__age,0.0,1
medical,Permutation,num__gender,0.0,2
medical,Permutation,num__height,0.0,3
medical,Permutation,num__weight,0.0,4
medical,Permutation,num__systolic_bp,0.0,5
medical,Permutation,num__diastolic_bp,0.0,6
medical,Permutation,num__cholesterol,0.0,7
medical,Permutation,num__glucose,0.0,8
medical,Permutation,num__smoking,0.0,9
medical,Permutation,num__alcohol,0.0,10
medical,Permutation,num__exercise,0.0,11
medical,Permutation,num__family_history,0.0,12
finance,Permutation,num__age,0.0,1
finance,Permutation,num__income,0.0,2
finance,Permutation,num__credit_score,0.0,3
finance,Permutation,num__debt_ratio,0.0,4
finance,Permutation,num__employment_years,0.0,5
finance,Permutation,num__loan_amount,0.0,6
finance,Permutation,num__interest_rate,0.0,7
finance,Permutation,num__previous_default,0.0,8
finance,Permutation,num__dependents,0.0,9
finance,Permutation,cat__home_ownership_mortgage,0.0,10
finance,Permutation,cat__home_ownership_own,0.0,11
finance,Permutation,cat__home_ownership_rent,0.0,12
finance,Permutation,cat__marital_status_divorced,0.0,13
finance,Permutation,cat__marital_status_married,0.0,14
finance,Permutation,cat__marital_status_single,0.0,15
