dataset,variance_threshold,top_n,shortlist_json,overlap_with_baseline
medical,0.0,5,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise""]",0.4166666666666667
medical,0.0,10,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age""]",0.8333333333333334
medical,0.0,15,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.0,20,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.001,5,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise""]",0.4166666666666667
medical,0.001,10,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age""]",0.8333333333333334
medical,0.001,15,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.001,20,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.01,5,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise""]",0.4166666666666667
medical,0.01,10,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age""]",0.8333333333333334
medical,0.01,15,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.01,20,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.05,5,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise""]",0.4166666666666667
medical,0.05,10,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age""]",0.8333333333333334
medical,0.05,15,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
medical,0.05,20,"[""num__weight"", ""num__smoking"", ""num__cholesterol"", ""num__glucose"", ""num__exercise"", ""num__height"", ""num__gender"", ""num__systolic_bp"", ""num__alcohol"", ""num__age"", ""num__diastolic_bp"", ""num__family_history""]",1.0
