dataset,method_a,method_b,top_k,overlap_count,jaccard
medical,RFE,SFS_forward,5,4,0.6666666666666666
medical,RFE,SFS_forward,10,8,0.6666666666666666
medical,RFE,SFS_forward,15,12,1.0
medical,RFE,L1_logreg,5,4,0.6666666666666666
medical,RFE,L1_logreg,10,8,0.6666666666666666
medical,RFE,L1_logreg,15,12,1.0
medical,RFE,RF_importance,5,2,0.25
medical,RFE,RF_importance,10,10,1.0
medical,RFE,RF_importance,15,12,1.0
medical,RFE,Permutation,5,4,0.6666666666666666
medical,RFE,Permutation,10,8,0.6666666666666666
medical,RFE,Permutation,15,12,1.0
medical,SFS_forward,L1_logreg,5,5,1.0
medical,SFS_forward,L1_logreg,10,10,1.0
medical,SFS_forward,L1_logreg,15,12,1.0
medical,SFS_forward,RF_importance,5,1,0.1111111111111111
medical,SFS_forward,RF_importance,10,8,0.6666666666666666
medical,SFS_forward,RF_importance,15,12,1.0
medical,SFS_forward,Permutation,5,5,1.0
medical,SFS_forward,Permutation,10,10,1.0
medical,SFS_forward,Permutation,15,12,1.0
medical,L1_logreg,RF_importance,5,1,0.1111111111111111
medical,L1_logreg,RF_importance,10,8,0.6666666666666666
medical,L1_logreg,RF_importance,15,12,1.0
medical,L1_logreg,Permutation,5,5,1.0
medical,L1_logreg,Permutation,10,10,1.0
medical,L1_logreg,Permutation,15,12,1.0
medical,RF_importance,Permutation,5,1,0.1111111111111111
medical,RF_importance,Permutation,10,8,0.6666666666666666
medical,RF_importance,Permutation,15,12,1.0
finance,RFE,SFS_forward,5,3,0.42857142857142855
finance,RFE,SFS_forward,10,8,0.6666666666666666
finance,RFE,SFS_forward,15,15,1.0
finance,RFE,L1_logreg,5,3,0.42857142857142855
finance,RFE,L1_logreg,10,8,0.6666666666666666
finance,RFE,L1_logreg,15,15,1.0
finance,RFE,RF_importance,5,2,0.25
finance,RFE,RF_importance,10,7,0.5384615384615384
finance,RFE,RF_importance,15,15,1.0
finance,RFE,Permutation,5,3,0.42857142857142855
finance,RFE,Permutation,10,8,0.6666666666666666
finance,RFE,Permutation,15,15,1.0
finance,SFS_forward,L1_logreg,5,5,1.0
finance,SFS_forward,L1_logreg,10,10,1.0
finance,SFS_forward,L1_logreg,15,15,1.0
finance,SFS_forward,RF_importance,5,4,0.6666666666666666
finance,SFS_forward,RF_importance,10,9,0.8181818181818182
finance,SFS_forward,RF_importance,15,15,1.0
finance,SFS_forward,Permutation,5,5,1.0
finance,SFS_forward,Permutation,10,10,1.0
finance,SFS_forward,Permutation,15,15,1.0
finance,L1_logreg,RF_importance,5,4,0.6666666666666666
finance,L1_logreg,RF_importance,10,9,0.8181818181818182
finance,L1_logreg,RF_importance,15,15,1.0
finance,L1_logreg,Permutation,5,5,1.0
finance,L1_logreg,Permutation,10,10,1.0
finance,L1_logreg,Permutation,15,15,1.0
finance,RF_importance,Permutation,5,4,0.6666666666666666
finance,RF_importance,Permutation,10,9,0.8181818181818182
finance,RF_importance,Permutation,15,15,1.0
