dataset,feature_set,model,metric,value,fit_time_sec
medical,full,LogisticRegression,accuracy,1.0,0.004015200000139885
medical,full,LogisticRegression,f1,1.0,0.004015200000139885
medical,full,LogisticRegression,roc_auc,1.0,0.004015200000139885
medical,shortlist,LogisticRegression,accuracy,1.0,0.0029680999996344326
medical,shortlist,LogisticRegression,f1,1.0,0.0029680999996344326
medical,shortlist,LogisticRegression,roc_auc,1.0,0.0029680999996344326
medical,robust_D,LogisticRegression,accuracy,1.0,0.0017252999987249495
medical,robust_D,LogisticRegression,f1,1.0,0.0017252999987249495
medical,robust_D,LogisticRegression,roc_auc,1.0,0.0017252999987249495
medical,full,RandomForest,accuracy,1.0,0.060272500000792206
medical,full,RandomForest,f1,1.0,0.060272500000792206
medical,full,RandomForest,roc_auc,1.0,0.060272500000792206
medical,shortlist,RandomForest,accuracy,1.0,0.06515650000073947
medical,shortlist,RandomForest,f1,1.0,0.06515650000073947
medical,shortlist,RandomForest,roc_auc,1.0,0.06515650000073947
medical,robust_D,RandomForest,accuracy,1.0,0.06785979999949632
medical,robust_D,RandomForest,f1,1.0,0.06785979999949632
medical,robust_D,RandomForest,roc_auc,1.0,0.06785979999949632
medical,full,LinearSVC,accuracy,1.0,0.0006298000007518567
medical,full,LinearSVC,f1,1.0,0.0006298000007518567
medical,full,LinearSVC,roc_auc,1.0,0.0006298000007518567
medical,shortlist,LinearSVC,accuracy,1.0,0.0005084999993414385
medical,shortlist,LinearSVC,f1,1.0,0.0005084999993414385
medical,shortlist,LinearSVC,roc_auc,1.0,0.0005084999993414385
medical,robust_D,LinearSVC,accuracy,1.0,0.0005822000002808636
medical,robust_D,LinearSVC,f1,1.0,0.0005822000002808636
medical,robust_D,LinearSVC,roc_auc,1.0,0.0005822000002808636
finance,full,LogisticRegression,accuracy,0.6666666666666666,0.001971100000446313
finance,full,LogisticRegression,f1,0.6666666666666666,0.001971100000446313
finance,full,LogisticRegression,roc_auc,0.5,0.001971100000446313
finance,shortlist,LogisticRegression,accuracy,0.6666666666666666,0.001754699998855358
finance,shortlist,LogisticRegression,f1,0.6666666666666666,0.001754699998855358
finance,shortlist,LogisticRegression,roc_auc,0.5,0.001754699998855358
finance,robust_D,LogisticRegression,accuracy,0.6666666666666666,0.0012705999997706385
finance,robust_D,LogisticRegression,f1,0.6666666666666666,0.0012705999997706385
finance,robust_D,LogisticRegression,roc_auc,0.5,0.0012705999997706385
finance,full,RandomForest,accuracy,0.6666666666666666,0.06198760000006587
finance,full,RandomForest,f1,0.0,0.06198760000006587
finance,full,RandomForest,roc_auc,1.0,0.06198760000006587
finance,shortlist,RandomForest,accuracy,0.6666666666666666,0.06563110000024608
finance,shortlist,RandomForest,f1,0.0,0.06563110000024608
finance,shortlist,RandomForest,roc_auc,1.0,0.06563110000024608
finance,robust_D,RandomForest,accuracy,0.6666666666666666,0.06509009999899718
finance,robust_D,RandomForest,f1,0.0,0.06509009999899718
finance,robust_D,RandomForest,roc_auc,0.5,0.06509009999899718
finance,full,LinearSVC,accuracy,0.6666666666666666,0.0005629999996017432
finance,full,LinearSVC,f1,0.6666666666666666,0.0005629999996017432
finance,full,LinearSVC,roc_auc,1.0,0.0005629999996017432
finance,shortlist,LinearSVC,accuracy,0.6666666666666666,0.0006475999998656334
finance,shortlist,LinearSVC,f1,0.6666666666666666,0.0006475999998656334
finance,shortlist,LinearSVC,roc_auc,1.0,0.0006475999998656334
finance,robust_D,LinearSVC,accuracy,0.6666666666666666,0.0005213000004005153
finance,robust_D,LinearSVC,f1,0.6666666666666666,0.0005213000004005153
finance,robust_D,LinearSVC,roc_auc,1.0,0.0005213000004005153
