dataset,method,feature,selected_count,total_runs,stability_rate
medical,RFE,num__age,5,5,1.0
medical,RFE,num__gender,0,5,0.0
medical,RFE,num__height,5,5,1.0
medical,RFE,num__weight,5,5,1.0
medical,RFE,num__systolic_bp,5,5,1.0
medical,RFE,num__diastolic_bp,5,5,1.0
medical,RFE,num__cholesterol,5,5,1.0
medical,RFE,num__glucose,5,5,1.0
medical,RFE,num__smoking,5,5,1.0
medical,RFE,num__alcohol,0,5,0.0
medical,RFE,num__exercise,5,5,1.0
medical,RFE,num__family_history,5,5,1.0
medical,L1_logreg,num__age,0,5,0.0
medical,L1_logreg,num__gender,0,5,0.0
medical,L1_logreg,num__height,0,5,0.0
medical,L1_logreg,num__weight,0,5,0.0
medical,L1_logreg,num__systolic_bp,0,5,0.0
medical,L1_logreg,num__diastolic_bp,0,5,0.0
medical,L1_logreg,num__cholesterol,0,5,0.0
medical,L1_logreg,num__glucose,0,5,0.0
medical,L1_logreg,num__smoking,0,5,0.0
medical,L1_logreg,num__alcohol,0,5,0.0
medical,L1_logreg,num__exercise,0,5,0.0
medical,L1_logreg,num__family_history,0,5,0.0
medical,RF_importance,num__age,2,5,0.4
medical,RF_importance,num__gender,0,5,0.0
medical,RF_importance,num__height,0,5,0.0
medical,RF_importance,num__weight,1,5,0.2
medical,RF_importance,num__systolic_bp,2,5,0.4
medical,RF_importance,num__diastolic_bp,3,5,0.6
medical,RF_importance,num__cholesterol,4,5,0.8
medical,RF_importance,num__glucose,4,5,0.8
medical,RF_importance,num__smoking,0,5,0.0
medical,RF_importance,num__alcohol,0,5,0.0
medical,RF_importance,num__exercise,4,5,0.8
medical,RF_importance,num__family_history,0,5,0.0
finance,RFE,num__age,5,5,1.0
finance,RFE,num__income,0,5,0.0
finance,RFE,num__credit_score,5,5,1.0
finance,RFE,num__debt_ratio,5,5,1.0
finance,RFE,num__employment_years,0,5,0.0
finance,RFE,num__loan_amount,5,5,1.0
finance,RFE,num__interest_rate,5,5,1.0
finance,RFE,num__previous_default,5,5,1.0
finance,RFE,num__dependents,5,5,1.0
finance,RFE,cat__home_ownership_mortgage,5,5,1.0
finance,RFE,cat__home_ownership_own,5,5,1.0
finance,RFE,cat__home_ownership_rent,5,5,1.0
finance,RFE,cat__marital_status_divorced,0,5,0.0
finance,RFE,cat__marital_status_married,0,5,0.0
finance,RFE,cat__marital_status_single,0,5,0.0
finance,L1_logreg,num__age,0,5,0.0
finance,L1_logreg,num__income,0,5,0.0
finance,L1_logreg,num__credit_score,0,5,0.0
finance,L1_logreg,num__debt_ratio,0,5,0.0
finance,L1_logreg,num__employment_years,0,5,0.0
finance,L1_logreg,num__loan_amount,0,5,0.0
finance,L1_logreg,num__interest_rate,0,5,0.0
finance,L1_logreg,num__previous_default,0,5,0.0
finance,L1_logreg,num__dependents,0,5,0.0
finance,L1_logreg,cat__home_ownership_mortgage,0,5,0.0
finance,L1_logreg,cat__home_ownership_own,0,5,0.0
finance,L1_logreg,cat__home_ownership_rent,0,5,0.0
finance,L1_logreg,cat__marital_status_divorced,0,5,0.0
finance,L1_logreg,cat__marital_status_married,0,5,0.0
finance,L1_logreg,cat__marital_status_single,0,5,0.0
finance,RF_importance,num__age,0,5,0.0
finance,RF_importance,num__income,5,5,1.0
finance,RF_importance,num__credit_score,4,5,0.8
finance,RF_importance,num__debt_ratio,5,5,1.0
finance,RF_importance,num__employment_years,2,5,0.4
finance,RF_importance,num__loan_amount,1,5,0.2
finance,RF_importance,num__interest_rate,5,5,1.0
finance,RF_importance,num__previous_default,3,5,0.6
finance,RF_importance,num__dependents,0,5,0.0
finance,RF_importance,cat__home_ownership_mortgage,0,5,0.0
finance,RF_importance,cat__home_ownership_own,0,5,0.0
finance,RF_importance,cat__home_ownership_rent,0,5,0.0
finance,RF_importance,cat__marital_status_divorced,0,5,0.0
finance,RF_importance,cat__marital_status_married,0,5,0.0
finance,RF_importance,cat__marital_status_single,0,5,0.0
