dataset,model,feature_set,method,feature,score,rank
medical,LogisticRegression,robust_D,coef_abs,num__cholesterol,0.7087125119229563,1
medical,LogisticRegression,robust_D,coef_abs,num__glucose,0.7087125119229561,2
medical,LogisticRegression,robust_D,coef_abs,num__systolic_bp,0.5203487051165064,3
medical,LogisticRegression,robust_D,coef_abs,num__diastolic_bp,0.5062197820736493,4
medical,LogisticRegression,robust_D,coef_abs,num__weight,0.4421302249841717,5
medical,LogisticRegression,robust_D,coef_abs,num__age,0.4008522192678446,6
medical,LogisticRegression,robust_D,coef_abs,num__smoking,0.21707585212332012,7
medical,LogisticRegression,robust_D,coef_abs,num__height,0.11662839417887273,8
medical,LogisticRegression,robust_D,permutation,num__smoking,0.0,1
medical,LogisticRegression,robust_D,permutation,num__diastolic_bp,0.0,2
medical,LogisticRegression,robust_D,permutation,num__systolic_bp,0.0,3
medical,LogisticRegression,robust_D,permutation,num__glucose,0.0,4
medical,LogisticRegression,robust_D,permutation,num__age,0.0,5
medical,LogisticRegression,robust_D,permutation,num__cholesterol,0.0,6
medical,LogisticRegression,robust_D,permutation,num__weight,0.0,7
medical,LogisticRegression,robust_D,permutation,num__height,0.0,8
medical,RandomForest,robust_D,native_importance,num__systolic_bp,0.24,1
medical,RandomForest,robust_D,native_importance,num__diastolic_bp,0.1987878787878788,2
medical,RandomForest,robust_D,native_importance,num__age,0.1772,3
medical,RandomForest,robust_D,native_importance,num__cholesterol,0.161875,4
medical,RandomForest,robust_D,native_importance,num__glucose,0.14,5
medical,RandomForest,robust_D,native_importance,num__weight,0.068125,6
medical,RandomForest,robust_D,native_importance,num__smoking,0.014012121212121212,7
medical,RandomForest,robust_D,native_importance,num__height,0.0,8
medical,RandomForest,robust_D,permutation,num__smoking,0.0,1
medical,RandomForest,robust_D,permutation,num__diastolic_bp,0.0,2
medical,RandomForest,robust_D,permutation,num__systolic_bp,0.0,3
medical,RandomForest,robust_D,permutation,num__glucose,0.0,4
medical,RandomForest,robust_D,permutation,num__age,0.0,5
medical,RandomForest,robust_D,permutation,num__cholesterol,0.0,6
medical,RandomForest,robust_D,permutation,num__weight,0.0,7
medical,RandomForest,robust_D,permutation,num__height,0.0,8
