dataset,window_id,scenario,feature,feature_type,detector,statistic,p_value,effect_size,drift_flag
medical,1,stable,age,numeric,ks,0.012698412698412698,1.0,0.0044498789510913905,False
medical,1,stable,sex,categorical,chi2,0.0,1.0,2.4107218521844074e-05,False
medical,1,stable,bmi,numeric,ks,0.04574230387288977,0.9420952783242336,0.03149953577988216,False
medical,1,stable,systolic_bp,numeric,ks,0.024242424242424242,0.9999951014834266,0.01001737820016478,False
medical,1,stable,diastolic_bp,numeric,ks,0.028715728715728715,0.9997836881136531,0.012154191225580112,False
medical,1,stable,cholesterol,numeric,ks,0.03134482340089817,0.9991756697016849,0.00876156133599608,False
medical,1,stable,glucose,numeric,ks,0.027705627705627706,0.9998917689185041,0.005853633395345781,False
medical,1,stable,resting_heart_rate,numeric,ks,0.044805194805194806,0.9434916638919968,0.036429975189138826,False
medical,1,stable,smoking_status,categorical,chi2,0.42113157326383366,0.9358434312439708,0.0032350420005705432,False
medical,1,stable,family_history,categorical,chi2,0.020333439864712755,0.8866097534337198,0.00041833427616399995,False
medical,1,stable,physical_activity_hours,numeric,ks,0.03230231978049389,0.9987939448364537,0.010812719497839405,False
medical,1,stable,stress_level,numeric,ks,0.03455988455988456,0.9959264327707035,0.008969539261530594,False
medical,1,stable,alcohol_units_weekly,numeric,ks,0.021356421356421358,0.999999884137826,0.006358437834625797,False
medical,2,covariate,age,numeric,ks,0.2756132756132756,3.5950077367269785e-09,2.297454280121937,True
medical,2,covariate,sex,categorical,chi2,16.54929128728962,4.7401698268591496e-05,0.13716249752334286,True
medical,2,covariate,bmi,numeric,ks,0.34055023923444977,1.1937253448318426e-13,0.6136594135625228,True
medical,2,covariate,systolic_bp,numeric,ks,0.024242424242424242,0.9999951014834266,0.01001737820016478,False
medical,2,covariate,diastolic_bp,numeric,ks,0.028715728715728715,0.9997836881136531,0.012154191225580112,False
medical,2,covariate,cholesterol,numeric,ks,0.03134482340089817,0.9991756697016849,0.00876156133599608,False
